resume_id,bullet_id,bullet_text,skill,score
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Monitoring,0.34006601572036743
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Systems Evaluation,0.33988362550735474
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Quality Control Analysis,0.2868706285953522
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Operations Monitoring,0.2720155119895935
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Equipment Selection,0.2605941593647003
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Operations Monitoring,0.37613269686698914
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Programming,0.34633398056030273
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Operations Analysis,0.29854726791381836
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Monitoring,0.2873053252696991
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Systems Evaluation,0.28158605098724365
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Technology Design,0.26102057099342346
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Complex Problem Solving,0.24547463655471802
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Time Management,0.23245516419410706
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Monitoring,0.2246587574481964
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Operations Monitoring,0.21389789879322052
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Coordination,0.33865442872047424
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Management of Personnel Resources,0.28042834997177124
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Operations Monitoring,0.27231764793395996
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Troubleshooting,0.2621968388557434
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Instructing,0.26050782203674316
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Quality Control Analysis,0.37409114837646484
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Troubleshooting,0.22048044204711914
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Systems Evaluation,0.22008460760116577
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Monitoring,0.2184276580810547
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Repairing,0.20686307549476624
642,6,Delivered insightful visualizations to support decision-making and client communication.,Technology Design,0.31125468015670776
642,6,Delivered insightful visualizations to support decision-making and client communication.,Judgment and Decision Making,0.30766037106513977
642,6,Delivered insightful visualizations to support decision-making and client communication.,Systems Evaluation,0.3033908009529114
642,6,Delivered insightful visualizations to support decision-making and client communication.,Operations Monitoring,0.2931554615497589
642,6,Delivered insightful visualizations to support decision-making and client communication.,Monitoring,0.27618247270584106
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Management of Financial Resources,0.26874762773513794
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Management of Personnel Resources,0.24471262097358704
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Management of Material Resources,0.2319691926240921
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Systems Analysis,0.22905561327934265
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Systems Evaluation,0.21791023015975952
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Operations Monitoring,0.3227643668651581
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Equipment Maintenance,0.26422494649887085
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Active Learning,0.255271852016449
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Operations Analysis,0.2515871524810791
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Equipment Selection,0.230661541223526
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,Operations Monitoring,0.3367691934108734
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,Technology Design,0.29221758246421814
